x,y,Skill,Category,Type
5.358146,2.3195803,APIs & integration,tech,core
5.8836617,2.773691,Data handling,tech,core
7.4386535,5.095311,ML inference integration,tech,core
7.8638587,4.596793,Python,tech,core
6.9681716,2.403989,Software design,tech,core
7.681064,1.1879777,System reliability,tech,core
8.219967,0.84484524,Testing & debugging,tech,core
5.3723726,1.2831775,Cloud services,tech,supplementary
7.7123346,5.4650836,MLOps collaboration,soft,supplementary
8.551517,1.8762155,Performance tuning,tech,supplementary
6.7369337,4.6357145,Responsible AI basics,tech,supplementary
0.93612313,6.2575493,Security,tech,supplementary
7.204284,4.2494826,Vector databases,tech,supplementary
0.13398586,3.2101555,Clear writing & briefing,soft,core
2.4056687,6.2849216,Governance frameworks,tech,core
5.597609,5.550007,Policy research,tech,core
9.066649,5.339526,Risk analysis,tech,core
-0.22706419,3.0987172,Stakeholder consultation,soft,core
6.789485,3.8248124,Program management,tech,supplementary
6.646186,4.640434,Regulatory horizon scanning,tech,supplementary
5.2194943,4.060672,Standards work (ISO/NIST),tech,supplementary
6.347103,4.226812,Technical AI literacy,tech,supplementary
6.930771,4.3459105,Bias/fairness assessment,tech,core
6.468291,4.1540847,Documentation & auditability,tech,core
6.68275,3.83445,Explainability methods,tech,core
9.037506,5.687178,Model risk evaluation,tech,core
5.669684,5.604201,Policy-to-practice translation,tech,core
0.9666677,5.597958,Privacy techniques,tech,supplementary
-0.5470219,3.0326602,Red teaming,soft,supplementary
1.9739835,1.1510465,Regulatory monitoring,tech,supplementary
1.0165749,6.2057886,Security/adversarial ML basics,tech,supplementary
-0.2674678,2.9756494,Stakeholder facilitation,soft,supplementary
1.1689787,2.8490775,Attention to detail,tech,core
5.810106,3.662552,Data annotation,tech,core
6.448438,2.255133,Labeling guidelines adherence,tech,core
6.838968,1.0296059,Quality control,tech,core
6.519073,3.7140503,Tooling proficiency,tech,core
6.4206,4.733853,Active learning workflows,tech,supplementary
7.4592376,6.5083666,Basic NLP/CV literacy,tech,supplementary
5.2486644,3.751156,Domain knowledge,tech,supplementary
5.80999,4.0954337,Inter-annotator agreement,tech,supplementary
6.178309,4.04498,Data-informed decision making,tech,core
7.8328505,1.7731687,Experimentation/KPIs,tech,core
6.16083,4.7976604,Product strategy,tech,core
6.1594567,4.6542344,Requirements & prioritization,tech,core
-0.0054579927,2.653659,Stakeholder management,soft,core
7.277466,5.255574,Understanding ML lifecycle,tech,core
6.1863117,4.492942,Go-to-market basics,tech,supplementary
2.6191325,6.442907,Model risk & governance awareness,tech,supplementary
6.6174836,2.4398108,Pricing/packaging,tech,supplementary
6.966969,5.949569,Prompting/GenAI product patterns,tech,supplementary
5.0667524,3.2826936,UX for AI,tech,supplementary
6.5921803,1.7368859,Automation,tech,core
6.628871,3.0946434,Bug triage,tech,core
8.656278,5.5976295,Data & model validation,tech,core
8.060106,3.1348898,Metric-driven evaluation,tech,core
7.3484783,4.796594,Reproducibility,tech,core
7.9631042,0.5805799,Test design for ML,tech,core
7.746234,0.6452323,Adversarial testing basics,tech,supplementary
7.5593967,0.8258907,Fairness testing,tech,supplementary
2.0237174,1.1784738,Monitoring in production,tech,supplementary
7.856977,0.53384244,Robustness testing,tech,supplementary
9.084827,3.4412458,Algorithm design,tech,core
7.073238,4.560547,Complexity analysis,tech,core
5.159421,1.822448,Data structures,tech,core
9.304208,3.5556138,Programming (C++/Java/Python),tech,core
8.080141,0.8332906,Testing & optimization,tech,core
7.972591,5.0042224,Distributed systems,tech,supplementary
5.055445,3.579823,Domain specialization,tech,supplementary
7.239235,4.8908515,ML basics,tech,supplementary
9.105976,2.2708132,Optimization methods,tech,supplementary
